,date,open,close,high,low,volume,code
225,2012-12-11,54.665,57.814,62.516,54.665,92232.0,600519
226,2012-12-12,60.037,65.706,65.814,57.971,64325.0,600519
227,2012-12-13,64.078,60.615,68.285,60.119,61996.0,600519
228,2012-12-14,58.384,62.45,63.756,54.665,78926.0,600519
229,2012-12-17,60.863,65.07,67.194,57.557,71361.0,600519
230,2012-12-18,65.169,67.913,69.772,65.136,46945.0,600519
231,2012-12-19,66.756,71.979,73.26,66.657,47569.0,600519
232,2012-12-20,71.194,71.111,72.764,68.789,34434.0,600519
233,2012-12-21,70.524,69.623,71.607,68.987,25092.0,600519
234,2012-12-24,65.83,59.69,65.83,55.904,100050.0,600519
235,2012-12-25,58.301,59.805,61.582,56.913,59533.0,600519
236,2012-12-26,59.028,60.243,61.524,58.144,44866.0,600519
237,2012-12-27,60.285,62.169,63.756,58.995,60926.0,600519
238,2012-12-28,62.185,66.07,68.78,62.185,56589.0,600519
239,2012-12-31,66.904,63.359,68.136,61.152,51914.0,600519
240,2013-01-04,65.822,61.64,65.822,60.037,58370.0,600519
241,2013-01-07,60.764,59.45,60.764,57.971,41271.0,600519
242,2013-01-08,58.533,64.863,64.871,58.533,65286.0,600519
243,2013-01-09,65.409,69.5,70.491,65.409,53749.0,600519
244,2013-01-10,68.78,67.888,69.954,66.648,30527.0,600519
245,2013-01-11,67.243,65.21,68.425,64.07,37009.0,600519
246,2013-01-14,62.929,63.69,64.417,58.227,68183.0,600519
247,2013-01-15,63.169,64.871,65.904,61.541,52635.0,600519
248,2013-01-16,60.037,60.863,61.524,58.946,69501.0,600519
249,2013-01-17,60.028,60.144,62.252,59.64,36201.0,600519
250,2013-01-18,60.987,59.012,61.26,55.995,55318.0,600519
251,2013-01-21,58.219,53.681,58.219,52.847,74779.0,600519
252,2013-01-22,52.442,54.938,55.681,46.814,73815.0,600519
253,2013-01-23,52.599,55.061,55.499,50.78,51013.0,600519
254,2013-01-24,54.169,52.566,55.987,51.607,59474.0,600519
255,2013-01-25,46.814,46.855,49.128,44.417,80007.0,600519
256,2013-01-28,44.334,38.136,45.822,37.723,158290.0,600519
257,2013-01-29,36.07,37.855,39.367,32.764,115447.0,600519
258,2013-01-30,36.937,39.475,41.433,36.632,71376.0,600519
259,2013-01-31,40.367,38.466,40.863,37.533,37816.0,600519
260,2013-02-01,38.45,38.533,40.838,37.747,45265.0,600519
261,2013-02-04,39.376,35.351,40.161,34.417,64964.0,600519
262,2013-02-05,35.202,43.037,43.095,34.252,87825.0,600519
263,2013-02-06,43.491,42.623,43.566,41.028,46195.0,600519
264,2013-02-07,41.855,43.648,44.789,40.466,48567.0,600519
265,2013-02-08,43.632,45.871,46.318,42.929,41572.0,600519
266,2013-02-18,46.235,39.119,46.235,38.549,56569.0,600519
267,2013-02-19,38.533,37.657,39.863,36.731,37737.0,600519
268,2013-02-20,36.896,37.64,39.359,35.26,36582.0,600519
269,2013-02-21,35.433,39.392,43.673,35.285,53832.0,600519
270,2013-02-22,40.202,43.995,44.83,40.202,62864.0,600519
271,2013-02-25,42.681,40.276,43.797,39.59,34549.0,600519
272,2013-02-26,39.954,37.202,42.681,37.169,43754.0,600519
273,2013-02-27,36.574,36.706,38.301,35.706,34158.0,600519
274,2013-02-28,37.557,35.243,37.557,32.764,56786.0,600519
275,2013-03-01,34.665,34.268,36.037,33.582,38003.0,600519
276,2013-03-04,34.185,35.012,36.582,34.185,52072.0,600519
277,2013-03-05,35.59,35.243,36.45,34.301,36974.0,600519
278,2013-03-06,36.07,37.078,37.144,34.128,49227.0,600519
279,2013-03-07,38.863,42.566,46.483,38.814,85190.0,600519
280,2013-03-08,44.342,42.789,45.574,42.409,35959.0,600519
281,2013-03-11,42.516,43.673,43.921,40.871,34965.0,600519
282,2013-03-12,44.334,41.177,44.417,39.376,25393.0,600519
283,2013-03-13,41.359,42.541,44.351,41.359,30769.0,600519
284,2013-03-14,41.442,38.499,43.318,38.268,35124.0,600519
285,2013-03-15,37.326,36.871,39.954,35.326,35961.0,600519
286,2013-03-18,36.814,30.656,36.814,29.615,78231.0,600519
287,2013-03-19,29.623,27.128,30.962,26.574,63414.0,600519
288,2013-03-20,27.194,31.037,31.599,26.235,71894.0,600519
289,2013-03-21,30.698,28.45,30.698,27.64,65392.0,600519
290,2013-03-22,28.202,30.326,31.028,27.566,45578.0,600519
291,2013-03-25,30.285,30.309,31.747,29.541,31966.0,600519
292,2013-03-26,30.367,31.012,32.111,29.797,32480.0,600519
293,2013-03-27,31.119,28.458,31.442,27.309,47662.0,600519
294,2013-03-28,27.871,28.483,29.607,24.756,41490.0,600519
295,2013-03-29,28.838,30.169,30.756,27.822,47717.0,600519
296,2013-04-01,29.533,26.937,29.838,26.632,29128.0,600519
297,2013-04-02,27.061,25.913,27.78,25.549,32524.0,600519
